Sinhala,English
"කියෝතෝ දේශගුණික ගිවිසුම අත්සන් කිරීමට රඩ් මහතා ගත් තීරණය එක්සත් ජනපදය හුදකලා වී දැන් ගිවිසුම අනුමත නොකරන එකම සංවර්ධිත රට වනු ඇත.
","Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.
"
"ඉන්දියාව සහ චීනය වැනි රටවල් විමෝචන ඉලක්කවලට බැඳී නොසිටින අතරතුර, ගල් අඟුරු අපනයනය කෙරෙහි දැඩි ලෙස විශ්වාසය තැබීම මගින් ආර්ථිකයට හානි සිදුවිය හැකි යැයි පවසමින් ඕස්ට්‍රේලියාවේ කලින් පැවති කොන්සර්වේටිව් රජය කියෝතෝ ස්ථිර කිරීම ප්‍රතික්ෂේප කළේ ය.
","Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets.
"
"එය eBay හි ඉතිහාසයේ විශාලත ම අත්පත් කිරීම වේ.
","It is the biggest acquisition in eBay's history.
"
"තම ප්‍රතිලාභ විභවයන් විවිධාංගිකරණය කිරීමට සහ චීනය, නැගෙනහිර යුරෝපය සහ බ්‍රසීලය වැනි ස්කයිප් වලට ශක්තිමත් ස්ථානයක් ඇති ප්‍රදේශවල ජනප්‍රියතාවය වැඩි කිරීමට, සමාගම බලාපොරොත්තු වෙයි.
","The company hopes to diversify its profit sources and gain popularity in areas where Skype holds a strong position, such as China, Eastern Europe, and Brazil.
"
"එන්සෙලාඩස් යනු භූ විද්‍යාත්මකව සක්‍රීය වූවක් බවත් එය සෙනසුරුගේ හිම මිදුණු ඊ වළල්ලෙහි තිබිය හැකි මූලාශ්‍රයක් බවත් විද්‍යාඥයෝ සැක පළ කරති.
","Scientists have suspected Enceladus as geologically active and a possible source of Saturn's icy E ring.
"
"එන්සෙලාඩස් සෞරග්‍රහ මණ්ඩලයේ වඩාත්ම පරාවර්තන කළ හැකි වස්තුව වන අතර, එයට පතිත වන සූර්යාලෝකයෙන් 90%ක්ම පරාවර්තන කරන්නකි.
","Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it.
"
"ක්‍රීඩා ප්‍රකාශක කොනාමි අද ජපන් පුවත්පතකින් පැවසුවේ, ඔවුන් සික්ස් ඩේස් ඉන් ෆලූජා  ක්‍රීඩාව නිකුත් නොකරන බවයි.
","The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.
"
"ක්‍රීඩාව පදනම් වී ඇත්තේ, ඇමරිකානු සහ ඉරාක හමුදා අතර පැවති ෆලූජාහි දෙවන සටන මතයි.
","The game is based on the Second Battle of Fallujah, a vicious battle between American and Iraqi forces.
"
"බිග් බ්‍රදර් වෙබ් අඩවියේ මාධ්‍ය ගබඩා කර නොතිබීම නිසා, වීඩියෝව අන්තර්ජාලය ඔස්සේ විකාශය කර තිබුනත්, බිග් බ්‍රදර් විසින් මාර්ගගත අන්තර්ගත වාරණ නීති උල්ලංඝනය කර නොමැති බව ACMA විසින් සොයා ගන්නා ලදී.
","The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.
"
"විකාශන සේවා පනත මගින් අන්තර්ජාල අන්තර්ගතය නියාමන කිරීම සඳහා ප්‍රතිපාදන සලසනු ලබයි. කෙසේ නමුදු, ඒවා අන්තර්ජාල අන්තර්ගත ලෙස සැලකීම සඳහා, භෞතිකව සර්වරයක පිහිටිය යුතු ය.
","The Broadcasting Services Act provides for the regulation of Internet content, however to be considered Internet content, it must physically reside on a server.
"
"සෝමාලියාවේ අන්තවාදීහු කෙන්යාවේ සහ ඉතියෝපියාවේ මරාගෙන මැරෙන බෝම්බ ප්‍රහාර දියත් කිරීමට සැලසුම් කරන බවට කෙන්යාවේ නයිරෝබියේ පිහිටි එක්සත් ජනපද තානාපති කාර්යාලය අනතුරු ඇඟවීමක් නිකුත් ‌කළේය.
","The United States embassy located in Nairobi, Kenya has issued a warning that ""extremists from Somalia"" are planning to launch suicide bomb attacks in Kenya and Ethiopia.
"
"ඉතියෝපියාවේ සහ කෙන්යාවේ ""ප්‍රමුඛස්ථාන"" පුපුරවා හැරීමට මරාගෙන මැරෙන බෝම්කරුවන් යොදා ගන්නා බවට අනාවරණය නොකරන මූලාශ්‍රයකින් තොරතුරු ලැබී ඇති බව එක්සත් ජනපදය පවසයි.
","The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.
"
"ද ඩේලි ෂෝ සහ ද කොල්බර්ට් රිපෝර්ට් වලට බොහෝ කලකට පෙර, හෙක් සහ ජොන්සන් ඔවුන් UW හි ශිෂ්‍යයන්ව සිටි 1988 වසරේ, පුවත් - සහ පුවත් වාර්තාකරණය- හාසකානුකරණයට ලක් කරන ප්‍රකාශනයක් සම්බන්ධව කල්පනා කරමින් සිටියහ.
","Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.
"
"එහි ආරම්භයේ පටන්ම,  මුද්‍රණ අනුවාදයක්, ඔක්තෝබර් මස තුළ පුද්ගලයන් 5,000,000 ක් නැරඹූ වෙබ් අඩවියක්, පුද්ගලික දැන්වීම්, පැය 24 පුවත් ජාලයක්, පොඩ්කාස්ට් සහ මෑතකදී අවර් ඩම්බ් වර්ල්ඩ් ලෙස නම් කළ ලෝක සිතියමක් සහිතව, දි අනියන්, සත්‍ය ලෙසම පුවත් හාසනුකරණ අධිරාජ්‍යයක් බවට පත්ව ඇත.
","Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.
"
"අල් ගෝර් සහ ජෙනරල් ටොමී ෆ්රෑන්ක්ස් ඔවුන්ගේ ප්‍රියතම ශීර්ෂ පාඨ පිළිබඳව සාමාන්‍යයෙන් කථා කරති (ගෝර්ගේ ප්‍රියතම පුවත වූයේ 2000 වසරේ ඡන්ද විද්‍යාල පරාජයෙන් පසුව ඔහු සහ ටිපර් ඔවුන්ගේ ජීවිතයේ හොඳම ලිංගික ජීවිතය පවත්වන බවට දි අනියන් කළ වාර්තාවයි).
","Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).
"
"ජෝන් ස්ටුවර්ට් සහ ස්ටීවන් කොල්බට්ගේ සරදම් පුවත් වැඩසටහන් කෙරෙහි, ඔවුන්ගේ බොහෝ ලේඛකයින් විශාල බලපෑමක් සිදු කර ඇත.
","Many of their writers have gone on to wield great influence on Jon Stewart and Stephen Colbert's news parody shows.
"
"මෙම කලාත්මක සිදුවීම රුමේනියානු අගනගරයේ ප්‍රතිරූපය නිර්මාණාත්මක හා වර්ණවත් අගනගරයක් ලෙස නැවත ආරම්භ කිරීමට උත්සාහ කරන බුකාරෙස්ට් නගර ශාලාවේ ව්‍යාපාරයක කොටසකි.
","The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.
"
"මේ වසරේ ජුනි සිට අගෝස්තු දක්වා කාලය තුළ ලොව විශාලතම මහජන කලා උළෙල වන කවු පැරේඩ් හි සත්කාරකත්වය සපයන ගිනිකොනදිග යුරෝපයේ පළමු නගරය මෙම නගරය වේ.
","The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.
"
"අද දින නිවේදනය මඟින් අමතර මැදිරි සඳහා අරමුදල් සැපයීම සඳහා මේ වසරේ මාර්තු මාසයේදී රජය දක්වන කැපවීම ද දීර්ඝ විය.
","Today's announcement also extended the government's commitment made in March of this year to fund extra carriages.
"
"සෙනඟ වැඩි වීම ඉවත් කිරීමට අමතර 300 ක් එක් කර මුළු වාහන සංඛ්‍යාව 1,300 ක් කරයි.
","An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding.
"
"ලොස් ඇන්ජලස් පොලිස් දෙපාර්තමේන්තුවේ ප්‍රකාශකයෙකු වන ක්‍රිස්ටොෆර් ගාර්ෂියා ප්‍රකාශ කළේ, සැක කටයුතු පිරිමි වරදකරුවා පොදු දේපළ විනාශ කිරීමට වඩා අනවසරයෙන් ඇතුළු වීම සම්බන්ධව විමර්ශන කරන බවයි.
","Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.
"
"ලකුණට භෞතිකව හානි නොවී ය; සාමය සහ හදවත් ලකුණුවලින් හැඩ කර තිබූ කළු ටාපෝලින් භාවිතා කර ""O"" සිම්පල් ""e"" ලෙස කියවෙන පරිදි සංශෝධනය කිරීමට නවීකරණයන් කරන ලදී.
","The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e"".
"
"රතු රළවලට හේතුව වන්නේ ස්වභාවිකව ඇති වෙන ඒක සෛලික සමුද්‍ර ජීවියෙක් වන කැරේනියා බ්‍රෙවිස් සාමාන්‍ය ප්‍රමාණයට වඩා සංකේන්ද්‍රණ වීම යි.
","Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.
"
"මෙම ඇල්ගී ප්‍රමාණය නාටකාකාර ලෙස වැඩි කිරීමට ඉඩ සලසන පරිපූර්ණ තත්වයන් ඇති කරන ස්වාභාවික සාධක එකිනෙක හා සම්බන්ධ විය හැකිය.
","Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.
"
"ඇල්ගී, මිනිසුන්ගේ මෙන්ම මත්ස්‍යයන්ගේ ස්නායු අක්‍රිය කරන නියුරෝටොක්සිනයක් නිපදවයි.
","The algae produces a neurotoxin that can disable nerves in both humans and fish.
"
"ජලයේ ඇති අධික විෂ සාන්ද්‍රණයන් හේතුවෙන් බොහෝ විට මත්ස්‍යයින් මිය යයි.
","Fish often die because of the high concentrations of the toxin in the waters.
"
"සුළඟ සහ රළ මගින් වායුවට ගෙන එන බලපෑමට ලක්වූ ජලය ආඝ්‍රාණ කිරීමෙන් මිනිසුන්ට මෙහි බලපෑම ලැබිය හැකිය.
","Humans can be affected by breathing affected water taken into the air by wind and waves.
"
"එහි උච්චතම අවස්ථාවේ දී ගෝනු, එනම් මාලදිවයින් භාෂාවෙන් තල් කොළ මල්ල නමින් හැඳින්වෙන සුළි කුණාටුවේ වේගය පැයට කිලෝමීටර් 240 ක (පැයට සැතපුම් 149) බවට පත්විය.
","At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .
"
"අද උදෑසන වන විට සුළං පැයට කි.මී. 83 ක් වන අතර එය දුර්වල විය හැකි බවට අපේක්ෂා කෙරිණි.
","By early today, winds were around 83 km/h, and it was expect to keep weakening.
"
"කොවිඩ්-19 සම්බන්ධ ගැටලු හේතුවෙන්, එක්සත් ජනපදයේ ජාතික පැසිපන්දු සංගමය (එන්.බී.ඒ) බදාදා දින, සිය වෘත්තීය පැසිපන්දු සමය අත්හිටවූයේ ය.
","On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.
"
"NBA හි තීරණයෙන් පසුව, උටාහ් ජෑස් වාදකයෙකු COVID-19 වෛරසය වැළඳී ඇති බවට පරීක්ෂණවලින් තහවුරු විය.
","The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.
"
"""මෙම ෆොසිලය මත පදනම්ව, එමගින් අදහස් වන්නේ බෙදී යාම සිදු වී ඇත්තේ අණුකමය සාක්ෂ්‍ය මගින් අපේක්ෂා කළාට වඩා බොහෝ කාලයකට පෙරාතුව බවයි.
","""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.
"
"""එනම්, සියල්ල ආපසු තැබිය යුතුයි,"""" ඉතියෝපියාවේ නිම්න විවර පර්යේෂණ සේවාවේ පර්යේෂකයෙකු සහ අධ්‍යයනයේ සමකතෘ, බර්හේන් අස්ෆව් පවසා සිටියේය.""
","That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.
"
"එක්සත් ජනපදය තුළ එය පුළුල් ලෙස භාවිතා වීම නිසා, මෙතෙක් දුරට ක්ෂණික පණිවිඩ වෙළඳපල ඊටම අයත් වේගයකින් ඉදිරියට ගෙන යාමට සහ සංවර්ධනය කිරීමට ඒ.ඕ.එල් හට හැකි වී තිබේ.
","Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.
"
"මෙම විධිවිධානය ක්‍රියාවට නැංවීමත් සමගම මෙම නිදහස අවසන් වීමට ඉඩ ඇත.
","With this arrangement in place, this freedom might end.
"
"Yahoo! සහ මයික්‍රොසොෆ්ට් සේවා භාවිතා කරන්නන්ගේ සංඛ්‍යාව එක්ව AOL හි ගනුදෙනුකරුවන්ගේ සංඛ්‍යාව හා තරඟ වදිනු ඇත.
","The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.
"
"සමාගමට එක්සත් රාජධානි. රජයෙන් හදිසි අවස්ථා සහය ලැබී ඇති බව අනාවරණය වූ පසුව 2008 දී නොදර්න් රොක් බැංකුව ජනසතු කර තිබුණි.
","The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.
"
"2007 වසරේ උපප්‍රථම උකස් අර්බුදය අතරතුර කාලයේදී එහි නිරාවරණය හේතුවෙන් නෝදර්න් රොක් වෙත සහය අවශ්‍ය කර තිබිණි.
","Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.
"
"බැංකුව ජාතිකකරණ කිරීමට පෙර ශ්‍රීමත් රිචර්ඩ් බ්‍රැන්සන්ගේ වර්ජින් ගෘප් බැංකුවට ලංසුවක් තබා එය ප්‍රතික්ෂේප වී තිබිණි.
","Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.
"
"2010 දී, ජනසතුව පවතින විට, වත්මන් මහා වීදි බැංකුව වන නොදර්න් රොක් පී.එල්.සී, ‘අයෝග්‍ය බැංකුව’, හෙවත් නොදර්න් රොක් (වත්කම් කළමනාකරණය) වෙතින් වෙන් කරන ලද්දේ ය.
","In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management).
"
"වර්ජින් මිලදී ගෙන ඇත්තේ නෝදර්න් රොක් හි 'යහපත් බැංකුව' පමණක් වන අතර වත්කම් කළමනාකරණ සමාගම නොවේ.
","Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company.
"
"පෘථිවියට වැටෙනා, අඟහරු ග්‍රහයාගේ බවට තහවුරු කළ ද්‍රව්‍ය මිනිසුන් විසින් නිරීක්ෂණ කළ ඉතිහාසයේ පස් වන අවස්ථාව මෙය බව විශ්වාස කෙරේ.
","This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.
"
"පෘථිවියට පතිත වී ඇති දළ වශයෙන් 24,000කට ආසන්න හදුනාගත උල්කාපාත  ප්‍රමාණය අතරින් අඟහරු සම්භවයක් ඇති ඒවා බවට තහවුරු වී ඇත්තේ 34 ක් පමණි.
","Out of the approximately 24,000 known meteorites to have fallen to Earth, only about 34 have been verified to be martian in origin.
"
"මෙම පාෂාණවලින් පහළොවක් පසුගිය ජූලි මාසයේදී සිදු වූ උල්කා වර්ෂාවේ ලක්ෂණ පෙන්වයි.
","Fifteen of these rocks are attributed to the meteorite shower last July.
"
"පෘථිවියේ ඉතාම දුර්ලභ  සමහර පාෂාණ අවුන්සයක් US$11,000 සිට $22,500 දක්වා අලෙවි වන අතර, එය රත්තරන් මිලට වඩා දස ගුණයක් පමණ වෙයි.
","Some of the rocks, which are very rare on Earth, are being sold from US$11,000 to $22,500 per ounce, which is about ten times more than the cost of gold.
"
"ධාවන තරඟයෙන් පසුව, ලකුණු 2,250 ක් ලබා ගනිමින් කෙසෙලොව්ස්කි ධාවන ශූරතාවලියේ ප්‍රමුඛයා ලෙස සිටී.
","Following the race, Keselowski remains the Drivers' Championship leader with 2,250 points.
"
"ලකුණු හතක් පිටුපසින්, ජෝන්සන් 2,243 ක් ලබා දෙවන ස්ථානයට පත් වෙයි.
","Seven points behind, Johnson is second with 2,243.
"
"තෙවන ස්ථානයට පැමිණි හැම්ලින් ලකුණු විස්සක් පිටුපසින් සිටින නමුත් බෝයර්ට වඩා පහක් ඉදිරියෙන් සිටී. ඛාන් සහ ටෘවෙක්ස් ජූනියර් පිළිවෙළින් ලකුණු 2,220 ක් සහ 2,207 ක් ලබා පස් වන සහ හය වන ස්ථානයේ සිටිති.
","In third, Hamlin is twenty points behind, but five ahead of Bowyer. Kahne and Truex, Jr. are fifth and sixth respectively with 2,220 and 2,207 points.
"
"ස්ටුවර්ට්, ගෝර්ඩන්, කෙන්සෙත් සහ හාර්වික් යන අය රියැදුරු ශූරතාවයේ පළමු දසදෙනා අතරට පැමිණි අතර තරඟ වාරයේ තවත් හතරක් ඉතිරිව පවතී.
","Stewart, Gordon, Kenseth, and Harvick round out the top-ten positions for the Drivers' Championship with four races remaining in the season.
"
"තමන් සිදුවීම සම්බන්ධව පරීක්ෂා කරමින් සිටි බව එ.ජ. නාවික හමුදාව ද පැවසී ය.
","The US Navy also said they were investigating the incident.
"
"""නැව ආරක්ෂිතව ඉවත් කිරීමේ හොඳම ක්‍රමය තීරණය කිරීමට කාර්ය මණ්ඩලය මේ වන විට කටයුතු කරමින් සිටින"" බව ඔවුහු ප්‍රකාශයක් නිකුත් කරමින් කියා සිටියහ.
","They also said in a statement, ""The crew is currently working to determine the best method of safely extracting the ship"".
"
"ඇවෙන්ජර් ඛාණ්ඩයේ බිම් බෝම්බ ප්‍රතිප්‍රහාර යාත්‍රාවක්, යාත්‍රාව පලවාන් හි පෝටෝ ප්‍රින්සෙසා වෙත යමින් තිබිණ.
","An Avenger class mine countermeasures ship, the ship was on its way to Puerto Princesa in Palawan.
"
"එය එ.ජ. නාවික හමුදාවේ හත්වෙනි නාවික බල ඇණියට පවරා ඇති අතර, ජපානයේ නාගසාකිහි සසෙබෝහි පිහිටා ඇත.
","It is assigned to the U.S. Navy’s Seventh Fleet and based in Sasebo, Nagasaki in Japan.
"
"2008 නොවැම්බර් 26 වෙනිදා බෝට්ටුවෙන් පැමිණි මුම්බයි ප්‍රහාරකයන් ඔවුන් සමඟ අත්බෝම්බ, ස්වයංක්‍රීය අවි ගෙනැවිත් ඡත්‍රපති ෂිවාජි පර්යන්ත දුම්රිය ස්ථානය සහ ජනප්‍රිය තාජ් මහල් හෝටලය ඇතුළු ඉලක්ක කිහිපයකට ප්‍රහාර සිදු  කළෝ ය.
","The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.
"
"ඩේවිඩ් හීඩ්ලිගේ පූර්ව සෝදිසි කිරීම් සහ තොරතුරු රැස්කිරීම් ලස්ඛාර්-එ-තයිබා පකිස්තානු භට කණ්ඩායමෙහි තුවක්කු භටයන් 10 ක කණ්ඩායමක් මගින් මෙහෙයුම ක්‍රියාත්මක කිරීමට සහය වී ඇත.
","David Headley's scouting and information gathering had helped to enable the operation by the 10 gunmen from the Pakistani militant group Laskhar-e-Taiba.
"
"ප්‍රහාරය මගින් ඉන්දියාව සහ පාකිස්තානය අතර සබඳතාවලට විශාල බලපෑමක් ඇති කරයි.
","The attack put a huge strain on relations between India and Pakistan.
"
"එකී නිලධාරීන් කැටුව, මහජන ආරක්ෂාව සුරැකීමට පියවර ගෙන තිබූ බවට ඔහු ටෙක්සාස්හි වැසියන්ට තහවුරු කළේය.
","Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.
"
"""මෙම නඩුවේ ඇති වූ අභියෝගයට මුහුණ දීමට වඩා හොඳින් සන්නද්ධ වූ ස්ථාන අතලොස්සක් ලෝකයේ ඇත"" යැයි පෙරී විශේෂයෙන් සඳහන් කළේ ය.
","Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case.""
"
"ආණ්ඩුකාරවරයා තවදුරටත් කියා සිටියේ, ""අද අපට දැනගන්නට ලැබුනේ සමහර පාසල් වයසේ දරුවන් රෝගියා සමඟ සම්බන්ධතා පවත්වා ඇති බවට හඳුනාගෙන ඇති"" බවය.
","The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient.""
"
"ඔහු තවදුරටත් කියා සිටියේ, ""මෙම සිදුවීම බරපතලයි. අපගේ ක්‍රියා පිළිවෙළ ක්‍රියාත්මක වන බවටත්, විය යුතු බවටත් සහතිකයි"" බව ය.
","He went on to say, ""This case is serious. Rest assured that our system is working as well as it should.""
"
"තහවුරු කළේ නම්, සොයාගැනීම මගින් ඇලන්ගේ අට - වසරක මුසාෂි සොයා යාම සම්පූර්ණ වනු ඇත.
","If confirmed, the find completes Allen's eight-year search for the Musashi.
"
"මුහුදු පතුළ සිතියම් ගත කිරීමෙන් අනතුරුව ROV භාවිතයෙන්   සුන්බුන් සොයා ගන්නා ලදී.
","Following seabed mapping the wreck was found using an ROV.
"
"ලෝකයේ ධනවත්ම පුද්ගලයකු වන ඇලන්, සිය ධනයෙන් වැඩි ප්‍රමාණයක් සමුද්‍ර ගවේෂණය සඳහා ආයෝජනය කර ඇතැයි කියා විශ්වාස කරන අතර, යුද්ධය පිළිබඳ දිවි ඇති තුරා වන උනන්දුවකින් මුසාෂි සොයා ගැනීමේ සිය ගවේෂණය ආරම්භ කළ බව වාර්තා වේ.
","One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.
"
"ඇය ඇට්ලන්ටා හි සිටි කාල සීමාව තුළ විවේචනාත්මක පැසසුමට ලක් වූ අතර, නව්‍යකරණය වූ නාගරික අධ්‍යාපනය සම්බන්ධව පිළිගැනීමට ලක් විය.
","She gained critical acclaim during her time in Atlanta and was recognized for innovative urban education.
"
"2009 වර්ෂයේදී ඇය වසරේ ජාතික පරීක්ෂකවරිය නාමයෙන් පිදුම් ලැබුවාය.
","In 2009 she was awarded the title of National Superintendent of the Year.
"
"සම්මානය ලබන අවස්ථාවේදී, ඇට්ලන්ටාවේ පාසල් පරීක්ෂණ ළකුණු සම්බන්ධයෙන් ඉහල දියුණුවක් ලැබ සිටියේය.
","At the time of the award, Atlanta schools had seen a large improvement on test scores.
"
"ඉන් මද කාලයක් ඇවෑමෙන්, ඇට්ලන්ටාවේ ජර්නල-ව්‍යවස්ථාව විසින් පරීක්ෂණ ප්‍රතිඵලයන්හි ගැටළු පෙන්වන වාර්තාවක් ප්‍රකාශයට පත් කරන ලදී.
","Shortly after, The Atlanta Journal-Constitution published a report showing problems with test results.
"
"වාර්තාවෙන් පෙන්නුම් කළේ පරීක්ෂණ ලකුණු ඇදහිය නොහැකි ලෙස ඉතා ඉහළ ගොස් ඇති බවත්, පාසල අභ්‍යන්තරව ගැටළු හඳුනාගත් නමුත් ඒවා සම්බන්ධයෙන් ක්‍රියා නොකළ බවත් ය.
","The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.
"
"ඉන්පසු සාක්ෂිවලින් සඳහන් වූයේ විභාග ප්‍රශ්න පත්‍ර හෝල් සහ තවත් අධ්‍යාපන නිලධාරීන් 34 දෙනෙක් විසින් සොරකම් කරන ලද  අතර ඔහු 2013 දී අධිචෝදනා ලැබුවේ ය.
","Evidence thereafter indicated test papers were tampered with Hall, along with 34 other education officials, was indicted in 2013.
"
"අයර්ලන්තයේ රජය තත්ත්‍වය නිවැරදි කිරීමට පාර්ලිමේන්තුවේ නීති සම්පාදනයේ හදිසිය ගැන තරයේ කියා සිටියි.
","The Irish government is stressing the urgency of parliamentary legislation to rectify the situation.
"
"""හැකි පමණ ඉක්මනින් නෛතික ප්‍රතිපාදන සම්පාදනය කිරීම මහජන සෞඛ්‍යය සහ අපරාධ යුක්තිය පිළිබඳ දෘෂ්ටි කෝණය යන දෙකෙන්ම දැන් වැදගත් වේ"", යැයි රජයේ ප්‍රකාශකයෙකු පැවසීය.
","""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson.
"
"දැන් පවතින ව්‍යවස්ථා විරෝධී වෙනස්කම් බලාත්මක වීමෙන් පසු, අදාළ ද්‍රව්‍යවල තාවකාලික නීත්‍යානුකූලභාවයෙන් ප්‍රයෝජන ගන්නා පුද්ගලයන්ගේ සුභසාධනය සහ මත්ද්‍රව්‍ය සම්බන්ධ දණ්ඩන පිළිබඳ සෞඛ්‍ය අමාත්‍යවරයා කනස්සල්ල පළ කළේය.
","The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.
"
"ජාර්ක් එදින උදෑසන ඉතාලියේ කවර්සියානෝහි පූර්ව-වාර  පුහුණුවීම් වල යෙදී සිටියේය. බොලොනියාට එරෙහිව ඉරිදා පැවැත්වීමට නියමිතව තිබූ තරඟයකට පෙර ඔහු කණ්ඩායම් හෝටලයේ නැවතී සිටියේය.
","Jarque was practicing during pre-season training at Coverciano in Italy earlier in the day. He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.
"
"බොලෝනියාවට එරෙහිව ඉරිදා පැවැත්වීමට සැලසුම් කළ තරඟයක් පැවැත්වීමට පෙර ඔහු කණ්ඩායමේ හෝටලයෙහි නැවතී සිටියේය.
","He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.
"
"ටිකට් පත් විකිණී අවසන් වූ ප්‍රේක්ෂකයින් පිරිසක් වෙනුවෙන් වාදනය කිරීම සඳහා බස් රථය මිසූරිහි සික්ස් ෆ්ලෑග්ස් සෙන්ට් ලුයි වෙත ගමන් කළේ ය.
","The bus was headed to Six Flags St. Louis in Missouri for the band to play to a sold-out crowd.
"
"සාක්ෂිකරුවන්ට අනුව, සෙනසුරාදා පෙ.ව. 1: 15ට, බස් රථය කොළ එළියක් හරහා ගමන් කරමින් සිටිය දී, මෝටර් රථය එයට ඉදිරියෙන් හරවා ඇත.
","At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it.
"
"අගෝස්තු 9 දින රාත්‍රිය වනවිට, චීන ෆුජියාන් ප්‍රාන්තයෙන් කිලෝ මීටර් හැත්තෑවක් පමණ බැහැරව මොරාකෝට් හි කේන්ද්‍රය පැවතිණ.
","As of the night of August 9, the eye of Morakot was about seventy kilometres away from the Chinese province of Fujian.
"
"සුළි කුණාටුව පැයට කිලෝ මීටර එකොලහක වේගයෙන් චීනය දෙසට ගමන් කරනු ඇතැයි අපේක්ෂිතය.
","The typhoon is estimated to be moving toward China at eleven kph.
"
"මගීන්ට ජලය ලබා දෙන ලද්දේ ඔවුන් අංශක 90 (F)ක තාපයකට මැදි වී සිටි විට ය.
","Passengers were given water as they waited in 90(F)-degree heat.
"
"ගිණි නිවීමේ හමුදා කපිතාන් ස්කොට් කෝන්ස් පැවසූවේ, ""එය 90 ගණන් වල සාන්ත ක්ලාරාවල උෂ්ණවය ඉහල අගයක පැවති උණුසුම දිනයක් වූ බවයි.
","Fire captain Scott Kouns said, ""It was a hot day in the Santa Clara with temperatures in the 90s.
"
"ඕනෑම කාලයක් රෝලර් කෝස්ටරයක සිරවී සිටීම අපහසුතාවයක් වන අතර, අවම වශයෙන් කිවහොත්, පළමු පුද්ගලයා ඉන් බැස යාමට අවමයෙන් පැයක්වත් ගත විය හැක.
","Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride.""
"
