high_res,low_res
asymptotic,asintótico
rhyme,rimar
advisory,consultivo
Brest,Brest
hereditary,hereditario
cool,frío
Mozarab,mozárabe
coulometry,coulometría
Somali,somalí
Mira,Mira
tolerable,tolerable
true,verdadero
dent,abollar
prosaic,prosaico
epicene,epiceno
congenital,congénito
melodic,melódico
convert,convertir
survive,sobrevivir
appeal,apelar
stateless,apátrida
capital,mayúscula
megalomania,megalomanía
vandalise,vandalizar
cryogenic,criogénico
brave,valiente
midbrain,mesencéfalo
holistic,holístico
plural,plural
Stephanie,Estefanía
Jinotega,Jinotega
quaver,temblor
informal,informal
vindication,justificación
rudimentary,rudimentario
attract,atraer
soften,ablandarse
pussy,purulento
Hercules,Hercules
insecure,inseguro
detour,desviar
pessimistic,pesimista
overheat,sobrecalentar
Laos,Laos
lascivious,lascivo
normative,normativo
ribosomal,ribosomal
every,cada
allege,afirmar
Frisian,frisón
dirty,sucio
exactly,exactamente
synthesize,sintetizar
Chochenyo,Chocheño
plan,planear
backlit,retroiluminado
inflexible,inflexible
ethical,ético
hazardous,peligroso
permeate,permear
jug,jarra
atrophy,atrofiarse
stalk,acechar
imply,implicar
infrared,infrarrojo
overdue,atrasado
force,forzar
masculinize,masculinizar
antiquated,anticuado
defibrillator,desfibrilador
insurgent,insurgente
penance,penitencia
trimotor,trimotor
undeniable,innegable
summon,citar
Scandinavian,escandinavo
whorey,aputada
Henrietta,Enriqueta
seed,sembrar
mulct,multar
entertain,entretener
scatter,esparcir
venomous,maléfico
shut,cerrar
requiem,réquiem
Saul,Saúl
PM,PM
rise,subir
superficial,superficial
Mayotte,Mayotte
Miranda,Miranda
miniver,armiño
amorous,enamorado
ashlar,sillar
demolish,demoler
Saul,Saúl
legato,ligado
frivolously,frívolamente
Courland,Curlandia
average,medio
take,llevar
voracious,voraz
alphabetical,alfabético
mere,mero
helio-,helio-
gorgeous,guapísimo
criminally,criminalmente
treat,tratado
paleontological,paleontológico
connect,conectar
superannuate,jubilar
poker,atizador
barrier,barrera
care,cuidar
experimental,experimental
incoherently,incoherentemente
after,tras
dadaism,dadaísmo
retainer,retenedor
untie,desatar
axillary,axilar
concern,preocupar
lone,solo
magnetic,magnético
promise,prometer
drake,pato
orthodox,ortodoxo
extradite,extraditar
tughra,tughra
moratory,moratorio
uncork,descorchar
Ulrica,Ulrica
Mormon,mormon
discursion,discursión
zestful,brioso
duduk,duduk
Levi,Leví
compiler,compilador
sympathy,compasión
grind,moler
two,dos
Marcella,Marcela
threatened,amenazado
cyclic,cíclico
rappel,rápel
portable,portable
impromptu,improvisado
shy,reservado
goofy,tonto
long,largo
occur,ocurrir
endemic,endémico
feel,sentir
raconteur,narrador
Cuban,cubano
fleshy,carnoso
monopolize,monopolizar
gymnospermous,gimnospermo
Lusatia,Lusacia
shepherd,pastorear
fix,fijar
indirect,indirecto
sexually,sexualmente
rise,levantarse
twelve,doce
intentional,intencional
Estonian,estonio
infanticide,filicida
magnificently,magníficamente
homologous,homólogo
Oviedan,ovetense
lovingly,amorosamente
stop,parar
silence,silenciar
inveterated,inveterado
abet,incitar
meteorological,meteorológico
unheard,inaudito
I,yo
blazon,blasonar
mend,remendar
elegantly,elegantemente
successively,sucesivamente
well,bien
extrajudicial,extrajudicial
blunt,obtuso
homogeneous,homogéneo
sanctify,santificar
sight,ver
help,ayudar
chock,engalgar
homologous,homólogo
androgynous,andrógino
cursor,cursor
incredible,increíble
traductology,traductología
feverish,febril
damp,amortiguar
Bertha,Berta
lethal,letal
literary,literario
Pyrrhic,pírrico
bovarism,bovarismo
photocopy,fotocopiar
malnourished,desnutrido
festoon,festón
Rivas,Rivas
assume,asumir
Ghanaian,ghanés
anthropogenic,antropogénico
venal,venal
cloak,capa
Christian,Cristián
collapsible,plegable
irritating,irritante
kiss,besar
premarital,premarital
Asmara,Asmara
carcass,cadáver
unlikely,improbable
shingle,guijarro
waning,menguante
flatulent,flatulente
scarlet,escarlata
beaner,frijolero
disarticulate,desarticular
undo,desatar
Samara,Samara
exact,exacto
luxurious,lujoso
carbonize,carbonizar
hail,granizar
Gabriela,Gabriela
dioptase,dioptasa
support,respaldar
unlimited,ilimitado
prioritize,priorizar
fluently,fluentemente
pow,zas
hardly,apenas
refine,refinar
favor,favor
satisfy,satisfacer
third,tercio
generously,generosamente
antecedent,antecedente
rasp,escofina
freight,carga
Zelda,Zelda
betwixt,entre
glorious,glorioso
homo-,homo-
roof,techar
Tagalog,tagalo
Matthias,Matías
administer,administrar
falciform,falciforme
smooch,beso
drill,entrenar
Kafkaesque,kafkiano
dispatch,despachar
Shinto,sintoísmo
hailstone,granizo
closed,cerrado
alveolar,alveolar
laxative,laxante
cone,cono
lemon,limonado
horrific,horrorífico
knobbly,nudoso
brownish,pardusco
Arcturus,Arturo
Lydia,Lidia
ancient,antiguo
reply,responder
ascend,subir
scream,grito
impatient,impaciente
overthrow,derrocar
septic,séptico
dispatcher,despachador
German,alemán
wrinkle,arrugar
undertow,resaca
James,Santiago
Stephen,Esteban
drawback,desventaja
warehouse,almacenar
epidemiologic,epidemiológico
privileged,privilegiado
trip,tropezar
assorted,surtido
computational,computazionale
scenic,escénico
Zuni,zuñi
doctrinal,doctrinal
Zimbabwe,Zimbabue
embalm,embalsamar
undermine,socavar
sin,pecar
milk,ordeñar
Ouagadougou,Uagadugú
archaeological,arqueológico
associative,asociativo
ethical,ético
persecute,perseguir
disinter,desenterrar
buy,creer
greenish,verdoso
invertebrate,invertebrado
Anglo-Norman,anglonormando
Eulalie,Eulalia
low,bajo
nosedive,sumergirse
intrinsic,intrínseco
impending,inminente
tone,tono
Matera,Matera
take,tomar
gentle,suave
appeal,atraer
pastoral,pastoral
velarize,velarizar
overfill,sobrellenar
integrity,integridad
morally,moralmente
monstrous,monstruoso
divert,distraer
spicy,picante
caw,graznido
Anglo-Norman,anglonormando
via,vía
scream,gritar
posterior,posterior
prepubescent,preadolescente
perky,vivaz
buttress,apuntalar
enigmatic,enigmático
transitive,transitivo
herein,aquí
saturnal,saturnal
tutelary,titulario
denounce,denunciar
correlation,correlación
throw,arrojar
reappear,reaparecer
vitalist,vitalista
appear,comparecer
trust,confiar
cretinism,cretinismo
colourless,incoloro
grow,crecer
anatomically,anatómicamente
malignant,maligno
maceration,maceración
Iranian,iraní
decongest,descongestionar
stake,estacar
delegate,diputar
avoidable,evitable
circular,circular
necessary,necesario
vertebrate,vertebrado
Gijón,Gijón
agreeable,dispuesto
consume,consumir
opsonin,opsonina
Urban,Urbano
invisibly,invisiblemente
pour,diluviar
sweet,fresco
trustworthiness,integridad
mane,melena
pathological,patológico
prophesy,profetizar
thicken,espesar
parhelion,parhelio
vocal,vocal
acculture,aculturar
distribute,distribuir
ischemic,isquémico
lubricate,lubricar
absent,ausentarse
confide,confiar
Makemake,Makemake
beg,mendigar
turn,volverse
dash,romperse
assiduously,asiduamente
dyne,dina
which,cuál
motivate,motivar
polysemic,polisémico
solemn,solemne
photogenic,fotogénico
amnesty,amnistiar
inexplicably,inexplicablemente
patronize,menospreciar
presentable,presentable
cartographic,cartográfico
enhancement,mejora
commutative,conmutativo
filter,filtrarse
courtesan,cortesana
eidetic,eidético
cunning,astuto
systemic,sistémico
laterally,lateralmente
madly,alocadamente
demarcation,demarcación
corral,acorralar
pending,esperando
overall,sobretodo
foil,frustrar
disqualify,descalificar
finished,terminado
importune,importunar
mitochondrial,mitocondrial
sanction,sancionar
hostile,hostil
Sebastian,Sebastián
plus,más
infanticide,infanticida
quatrain,cuarteto
gold,oro
mature,madurar
chip,desconcharse
metallic,metálico
cerulean,cerúleo
be,estar
report,notificar
parasitic,parasítico
pea,guisante
coy,recatado
rumpus,revuelo
rather,preferiblemente
circumlocution,circunlocución
tender,esquife
hyper-,hiper-
unabashedly,desinhibidamente
cautiously,precavidamente
Bosnian,bosnio
none,ninguno
people,poblarse
cater,atender
Bordeaux,Burdeos
bony,huesudo
strip,remover
double,doble
answerable,responsable
establish,establecer
involve,envolver
inharmonicity,inarmonía
commoner,plebeyo
after,después
apex,ápice
diabolical,diabólico
sort,clasificar
paradigm,paradigma
visionary,visionario
feverish,febril
dress,vestir
sunny,asoleado
bet,apuesta
manipulative,manipulador
Belizean,beliceño
allo-,alo-
bumfuck,culeada
rasp,raspar
former,anterior
moderately,moderadamente
tempest,tempestear
rostrum,espolón
new,nuevo
anatomical,anatómico
relegate,relegar
crippled,cojo
Haumea,Haumea
castrate,capar
Luso-,luso-
lead,liderar
Odessa,Odesa
impale,empalar
Triangulum,Triangulum
Volgograd,Volgogrado
unnecessary,innecesario
catch,atrapar
slake,apagar
awaken,despertarse
choral,coral
eleven,once
bastard,desgraciado
daft,tonto
painfully,dolorosamente
deficient,deficiente
communicative,comunicativo
chronic,crónico
sort,ordenar
arduous,arduo
representative,representante
rush,acometida
transit,girar
amiss,mal
prothrombotic,protrombótico
circle,circular
slide,resbalar
allege,alegar
extraordinary,extraordinario
Oceanian,oceánico
illegal,ilegal
briefly,concisamente
modal,modal
blunt,embotar
neuter,neutro
Gabriel,Gabriel
efficient,eficiente
smog,esmog
laicize,laicizar
dated,obsoleto
levitate,levitar
suborbital,suborbital
pasture,pastar
onomatopoeic,onomatopéyico
bandage,vendar
Groningen,Groninga
kryptonite,kryptonita
soporific,somnífero
step,caminar
cheeky,burlón
astrophysics,astrofísica
cheerful,animado
linear,lineal
inactive,inactivo
transport,exiliar
aldonic,aldónico
deploy,desplegar
impermeable,impermeable
overplay,sobreactuar
grind,rutina
recognize,reconocer
honour,honrar
Vulcan,Vulcano
straight,derecho
clangour,estruendo
oligarchic,oligárquico
agreeably,agradablemente
vacant,vacante
storekeeper,tendero
maximum,máximo
of,de
cardinality,cardinalidad
encroach,inmiscuirse
innocuous,inocuo
ecumenical,ecuménico
bewilder,desconcertar
ink-pad,tampón
offend,ofender
colligative,coligativo
Quechuan,quechua
write,escribir
bloodthirsty,sanguinario
bootstrap,arreglárselas
Istria,Istria
phallic,fálico
unofficial,extraoficial
pedagogic,pedagógico
autonomous,autónomo
with,con
make,hacer
touch,toque
occultism,ocultismo
scrape,raspar
phony,farsante
semirural,semirural
strangely,extrañamente
fragment,fragmento
apologize,disculparse
dendritic,dendrítico
metonymic,metonímico
freckled,pecoso
stem,descender
ramify,ramificar
establish,establecer
-phile,-filo
apply,aplicar
tighten,tensar
sordid,sórdido
anthropoid,antropoide
grumble,quejarse
comfortable,confortable
monstrous,monstruoso
IPA,AFI
sun,asolear
enantiomer,enantiómero
lich,liche
dog-eared,manoseado
hasten,correr
fantastic,fantástico
can,descartar
intercontinental,intercontinental
domesticate,domesticar
distal,distal
agreeable,conforme
Latin,latino
easy,fácil
involuntary,involuntario
Lynx,Lynx
exigent,exigente
quintuple,quintuplicar
cardiological,cardiológico
Ezekiel,Ezequiel
maim,mutilar
viscount,vizconde
diabolic,diabólico
cheat,truco
microfilm,microfilmar
pound,pilar
disdainful,desdeñoso
encode,codificar
dacite,dacita
Rhineland-Palatinate,Renania-Palatinado
tyrannical,tiránico
reconstruct,reconstruir
valet,mánager
fountain,fuente
scald,quemar
mature,maduro
atopic,atópico
act,comportarse
heed,importar
levitation,levitación
aspirated,aspirado
activate,activar
ameban,amebiano
binder,agavilladora
saw,serrar
lenticular,lenticular
seventieth,septuagésimo
latest,último
convex,convexo
confidentially,confidencialmente
sprout,germinar
denotative,denotativo
poetically,poéticamente
represent,representar
unblushingly,desvergonzadamente
cardinal,cardinal
scientocracy,cienciocracia
even,allanar
commendably,loablemente
draft,reclutar
necromancer,necromante
relatively,relativamente
orthodox,ortodoxo
schematize,esquematizar
cardio-,cardio-
why,vaya
Madriz,Madriz
cassava,yuca
stoical,estoico
ramify,ramificar
generate,procrear
exoteric,exotérico
Yolanda,Yolanda
abstemious,abstemio
one,un
atheism,ateísmo
deleterious,deletéreo
derogatory,derogatorio
Italian,italiano
journey,viajar
perfectly,perfectamente
Osiris,Osiris
Anaximander,Anaximandro
eschew,esquivar
fluid,fluido
unmask,desenmascarar
between,entre
bacteriological,bacteriológico
morbid,mórbido
psychoactive,psicoactivo
Valerie,Valeria
parliamentary,parlamentario
arrange,disponer
offhand,descuidado
streak,rayarse
Christina,Cristina
petiole,pecíolo
turquoise,turquesa
Herod,Herodes
Dan,Dan
miss,perder
falsifiability,falsabilidad
distressed,dañado
hypocoristic,hipocorístico
green,verde
unexpected,inesperado
Karachi,Karachi
artless,cándido
purr,ronronear
unavoidable,inevitable
confused,confuso
heliocentric,heliocéntrico
call,gritar
Obed,Obed
superstitious,supersticioso
eunuch,eunuco
blind,cegar
radiant,radiante
Hebrew,hebreo
regularly,comúnmente
proportional,proporcional
strengthen,fortalecer
succeed,suceder
resonant,resonante
decline,declinar
Goddess,diosa
bend,doblarse
rehab,rehabilitación
methamphetamine,metanfetamina
work,bordar
prominent,prominente
allo-,alo-
study,estudiar
Karaj,Karaj
incorrigible,incorregible
arid,árido
contagious,contagioso
seventy,setenta
apologize,disculparse
downside,inconveniente
coast,perecear
ideogram,ideograma
gnaw,roer
spell,descifrar
coniform,coniforme
growing,creciente
update,actualizar
pilaster,pilastra
button,abotonar
share,compartir
retarded,retrasado
abortive,abortivo
pick,coger
reckon,contar
livid,lívido
double,duplicar
ingenious,ingenioso
load,carga
light,iluminar
Hyacinth,Jacinto
crazy,loco
tubular,tubular
parent,padre
height,altura
Marseilles,Marsella
bitterly,amargamente
approximate,aproximado
everything,todo
yeah,sí
amazingly,extraordinariamente
lesbian,lesbiana
grunt,gruñir
what,qué
irascible,irascible
stress,estresar
well,bien
extrinsic,extrínseco
tease,peinar
occultism,ocultismo
redo,rehacer
progress,progresar
pneumoconiosis,pneumoconiosis
Aquila,Aquila
intelligible,inteligible
thrust,propulsar
zoological,zoológico
integrable,integrable
disagreeable,desagradable
at,a
tag,etiquetar
awake,despierto
hardworking,trabajador
wont,hábito
encampment,campamento
Aryan,ario
antipyretic,antipirético
tame,amansar
encrypt,cifrar
behave,comportarse
usually,usualmente
abandoned,abandonado
nectar,néctar
class,clase
profound,profundo
disembowel,desentrañar
ideal,ideal
pharmacological,farmacológico
extraordinarily,extraordinariamente
refactor,refactorizar
Camilla,Camila
impassable,infranqueable
clock,cronometrar
bathe,bañarse
fly,volar
recapture,reconquistar
austere,severo
fulgurous,fulguroso
plus,más
simultaneity,simultaneidad
bulimic,bulímico
ignifluous,ignífluo
Maltese,maltés
worldly,mundano
Tasmania,Tasmania
recapitulate,recapitular
repeatable,repetible
avail,servir
midpoint,mitad
clasp,agarrar
wreath,rodear
gape,boquear
probable,probable
gimlet,barrena
capsular,capsular
persist,persistir
uniform,uniforme
affectionately,afectuosamente
Jiangsu,Jiangsu
lexical,léxico
oviparous,ovíparo
oppressed,oprimido
Giles,Egidio
groceries,comestibles
sewn,cosido
neuter,castrar
prioritize,prioritizar
interior,interior
lithic,lítico
promontory,promontorio
phagocytosis,fagocitosis
Slavonia,Eslavonia
Saami,sami
UNDP,PNUD
tough,resistente
incoherent,incoherente
roll,enroscar
sonic,sónico
stoic,estoico
antioxidant,antioxidante
rob,robar
unsociable,morugo
tiding,noticia
trace,calcar
fatten,engordar
discobolus,discóbolo
emblematic,emblemático
Amharic,amárico
Horace,Horacio
Blasius,Blas
scalp,descabellar
Ophelia,Ofelia
cure,curar
precession,precesión
against,contra
confound,empeorar
synthesizer,sintetizador
undulate,ondear
plenary,plenario
behind,detrás
Galician,gallego
measure,medir
disrespectful,irrespetuoso
next,próximo
Beatrice,Beatriz
sophrological,sofrologico
nebulous,nebuloso
ligate,ligar
drift,derivar
Connecticut,Connecticut
more,más
haul,llevar
concupiscence,concupiscencia
scruffy,desaliñado
billet,acuartelar
drawing,dibujar
acknowledgment,reconocimiento
architectural,arquitectónico
here,aquí
cyclonic,ciclónico
tangentially,tangencialmente
shiny,refulgente
Christmassy,navideño
key,teclear
Apus,Apus
nudiustertian,anteayer
corneal,corneal
proceed,proceder
marginal,marginal
cryptic,críptico
purpure,púrpura
bollocks,chingados
ochre,ocre
underscore,subrayar
Ariel,Ariel
inescapable,inevitable
Hindu,hindú
arrogantly,arrogantemente
shuffle,barajar
sensorial,sensorial
they,se
literate,letrado
unpredictable,impredecible
waver,balancearse
await,esperar
Dominican,dominicano
because,porque
crystal,cristal
blue,azular
report,presentarse
forbear,retenerse
inflate,inflar
legal,legal
appear,aparecer
release,lanzar
subheading,subtítulo
lousy,piojoso
Uranus,Urano
stimulate,estimular
stertorous,estertoroso
mitotic,mitótico
possessing,poseyendo
gratis,gratis
discern,discernir
photogenic,fotogénico
Belgian,belga
intravenous,intravenoso
range,intervalo
complex,complexo
gather,acumular
allot,repartir
hypocrite,hipócrita
Manitoba,Manitoba
hoity-toitily,pomposamente
gospel,evangelio
skip,saltear
unconditional,incondicional
chaps,zahones
Marcellus,Marcelo
bonito,sarda
Zephaniah,Sofonías
floury,harinoso
fatal,fatal
logical,logical
one-eyed,tuerto
pen,escribir
inapplicable,inaplicable
retroactive,retroactivo
orthopedic,ortopédico
rectitude,rectitud
tell,decir
Leander,Leandro
contradict,contradecir
membranous,membranoso
gullible,crédulo
synthesize,sintetizar
packet,paquete
Trieste,Trieste
aeronautic,aeronáutico
gimmick,estratagema
dupe,engañar
mordacious,mordaz
hydrostatic,hidrostático
matronly,matronalmente
mountainous,montañoso
aspire,aspirar
electroretinography,electrorretinografía
fighter,caza
-ization,-ización
cauterize,cauterizar
Amanda,Amanda
embroider,bordar
ultraviolet,ultravioleta
drag,arrastrar
eclectic,ecléctico
disrupt,interrumpir
flop,desplomarse
clastic,clástico
three-dimensional,tridimensional
lastborn,ultimogénito
stake,estacar
ruminant,rumiante
leave,dejar
unmarried,soltero
harsh,áspero
entire,entero
compromise,comprometerse
mislead,engañar
affordable,asequible
Niger,Níger
overlook,otear
Yemeni,yemení
apologetically,disculpándose
acquit,exculpar
prognosticate,pronosticar
helical,helicoidal
extrasensory,extrasensorial
refrain,estribillo
show,mostrar
iota,poco
blunt,romo
unfaithfully,infielmente
arithmetical,aritmético
skier,esquiador
involuntarily,involuntariamente
envelop,envolver
micro-,micro-
solemnly,solemnemente
Mordovia,Mordovia
obese,obeso
flagrant,flagrante
festively,festivamente
glance,vistazo
pass,pasar
macroeconomic,macroeconómico
dress,vestirse
considerate,considerado
clearly,claramente
oppose,oponer
gardener,jardinero
program,programar
outclass,superar
cooper,tonelero
pandemonism,pandemonismo
craftsman,artesano
bar,barrar
sheath,envainar
phatic,fático
whimsical,caprichoso
Makemake,Makemake
traditional,tradicional
wooded,boscoso
Burmese,birmano
encephalo-,encefalo-
blow,cagar
standstill,parada
schematic,esquemático
intermediate,intermediar
diligently,diligentemente
iodize,yodurar
hangar,hangar
Sevillan,sevillano
smother,reprimir
prudish,pudibundo
plus,más
Basil,Basilio
euphonium,eufonio
supply,suplir
walkthrough,tutorial
cynically,cínicamente
down,abajo
gregarious,gregario
interplanetary,interplanetario
abridged,abreviado
much,mucho
ladle,vertir
spread,esparcir
firstly,primeramente
then,entonces
Montenegro,Montenegro
scion,descendiente
Clotilda,Clotilde
succeed,suceder
realism,realismo
express,expresar
bovine,bovino
photographic,fotográfico
sane,cuerdo
burgeon,florecer
meet,llenar
illicit,ilícito
paraphrase,paráfrasis
evict,desahuciar
ribbit,croac
twenty-eighth,veintiochoavo
rinse,enjuagar
abstract,abstracto
diligent,diligente
landmark,sobresaliente
ignorant,inculto
Tetris,Tetris
identical,idéntico
Rose,Rosa
squeeze,apretón
vociferation,vociferación
Hindu,hindú
dolt,estúpido
squelch,chapotear
transparent,transparente
blackish,negruzco
Catalan,catalán
escape,escaparse
beefy,cárnico
inaccurate,inexacto
buck,corcovear
learn,aprender
light,luminoso
gratefulness,agradecimiento
capture,capturar
accentuate,acentuar
disambiguation,desambiguación
bilateral,bilateral
flit,revolotear
parboil,sancochar
lay,poner
grits,gofio
Micronesian,micronesio
brachioproctic,braquioproctal
acetify,acetificar
assume,asumir
square,perpendicular
shoe,herrar
mature,madurar
contribute,contribuir
three-pronged,trifurcado
unhinge,desquiciar
laryngeal,laringeo
intangible,intangible
haze,bruma
Gothenburg,Gotemburgo
Lyra,Lyra
acclimate,aclimatar
anti-inflationary,antiinflacionario
judicial,judicial
ideal,ideal
Bologna,Bolonia
meta-,meta-
conservative,conservador
reactivate,reactivar
double,duplicar
print,imprimir
stabilize,estabilizar
empower,apoderar
Monica,Mónica
original,original
grasp,comprender
cherubim,querubín
antidepressant,antidepresivo
shave,afeitarse
appropriate,designar
instantaneous,instantáneo
Delphinus,Delphinus
metaphorically,metafóricamente
editorial,editorial
sort,ordenar
overfall,caerse
creosote,creosotar
tone,tono
dobra,dobra
scientifically,científicamente
Andorran,andorrano
sing,cantar
coalesce,unirse
ripost,respuesta
twentieth,vigésimo
boatswain,contramaestre
zigzag,zigzaguear
mint,acuñar
counterproductive,contraproducente
four,cuatro
snore,roncar
toothless,desdentado
keep,mantener
polarization,polarización
by,por
retract,retractar
book,multar
-ic,-ico
minimum,mínimo
Bathsheba,Betsabé
garrison,apostar
Guadalajara,Guadalajara
arccosine,arcoseno
Hyacinthus,Jacinto
likewise,igualmente
uncanny,perturbante
tour,recorrer
arbitration,arbitraje
YHVH,Jehová
wither,decaer
cloud,nublar
Mali,Malí
acutely,intensamente
flow,fluir
drop,caer
Veneto,Véneto
tally,contar
frigid,frígido
Nestor,Néstor
geometric,geométrico
statistically,estadísticamente
unprepared,desapercibido
salacious,salaz
poly-,poli-
albino,albino
overcook,recocer
bury,enterrar
verification,verificación
bony,huesudo
hey,¡eh!
then,después
lane,calle
stay,mantenerse
hydraulic,hidráulico
craft,labrar
receivership,sindicatura
label,rotular
denature,desnaturalizar
me,me
macro-,macro-
break,romper
definite,indudable
disciplinary,disciplinario
eclipse,eclipsar
unaltered,inalterado
thorybism,toribismo
contemptible,despreciable
singular,singular
transit,transitar
suburban,suburban
fission,fisionar
bad-tempered,malhumorado
arch,arquear
Groningen,Groninga
grand,grande
efface,borrar
digest,resumen
shingle,techar
oblong,oblongo
piem,piema
vilify,vilipendiar
Adige,Adigio
faction,facción
invent,inventar
shocking,aberrante
weak,débil
indigent,indigente
tear,rasgar
unluckily,desafortunadamente
boil,hervir
debug,depurar
pilot,probar
Yaoundé,Yaundé
invoke,invocar
nonplussed,perplejo
v-chip,V-viruta
goal,meta
Absalom,Absalón
divest,privar
inert,inerte
sodden,empapado
makeshift,provisional
masticate,masticar
scaly,escuamiforme
Granada,Granada
push,pujar
lachrymal,lacrimal
transparent,transparente
topographic,topográfico
blower,ventilador
lick,derrotar
endow,entregar
superannuate,anticuarse
omissible,omisible
demand,exigir
by,por
veritably,verdaderamente
amiably,amablemente
vintage,antiguo
Edmund,Edmundo
spank,golpe
characteristic,característico
Francophone,francófono
builder,constructor
didactically,didácticamente
far,lejano
remorseful,compungido
partial,parcial
halt,parar
sear,chamuscar
drill,perforar
Buddhist,budista
tone,tono
indisputable,indisputable
submarine,submarino
civic,cívico
inflict,infligir
unplug,desenchufar
little,poco
crack,resquebrajar
happily,afortunadamente
engaged,comprometido
dialectal,dialectal
upgrade,actualizar
sum,sumar
Dorado,Dorado
median,mediano
idiotize,idiotizar
grace,gracias
sublease,subarrendar
inert,inerte
arctic,glacial
incur,incurrir
figure,ocurrírsele
earn,ganar
pompously,pomposamente
glean,espigar
Elissa,Elisa
liquid,líquido
impress,impresionar
claim,afirmar
carnivore,carnívoro
palustral,palustre
splinter,astillar
occupy,ocupar
introspective,introspectivo
interspecific,interespecífico
endurable,tolerable
Zwinglian,zwingliano
freeze,helar
immense,inmenso
draconian,draconiano
hang,colgar
nail,tirarse
woven,tejido
as,mientras
gear,engranar
below,abajo
devastating,devastador
Scutum,Scutum
polarization,polarización
marshy,pantanoso
feel,sentirse
careful,cuidadoso
dilettante,diletante
controllable,controlable
supermarket,supermercado
empty,vaciar
silly,semiaturdido
steer,llevar
fuchsia,fucsia
heteroblastic,heteroblástico
Ido,ido
sustainability,sostenibilidad
concisely,concisamente
cobble,ensamblar
biometrics,biometría
immure,emparedar
accusative,acusativo
Namibia,Namibia
institutional,institucional
disarm,desarmar
despotic,despótico
mosque,mezquita
rustproof,inoxidable
viola,viola
Strabo,Estrabón
mental,mental
cortical,cortical
sit,sentarse
coordination,coordinación
fierce,feroz
enamel,esmaltar
Jane,Juana
scope,alcance
impersonal,impersonal
presumptuous,presuntuoso
Regensburg,Ratisbona
apprehend,temer
tackle,taclear
silvered,plateado
anesthetize,anestesiar
-osis,-osis
quotidianly,cotidianamente
Tunisia,Túnez
indefinitely,indefinidamente
Gilaki,gileki
connote,connotar
Algherese,alguerés
brow,frente
derivative,derivado
axiomatic,axiomático
hepatitic,hepatítico
unconditionally,incondicionalmente
cut,cortar
decrease,disminuir
Tula,Tula
glorious,glorioso
biological,biológico
spell,deletrear
pronounce,pronunciar
disordered,desordenado
tropical,tropical
nervous,nervioso
irregular,irregular
Zouave,zuavo
mashable,mezclable
complex,complicado
believable,creíble
successional,sucesorio
for,por
no,no
pantyhose,pantimedias
loquacious,locuaz
brake,frenar
Tuzla,Tuzla
copy,recibir
Chad,Chad
mine,minar
earn,ganar
sharpen,afilar
early,primero
schematic,esquemático
charming,encantador
frequent,frecuentar
merriment,juguetoneo
excite,excitar
Stockholm,Estocolmo
burden,gravar
against,contra
privatize,privatizar
ally,aliado
ducal,ducal
neither,tampoco
mechanize,mecanice
monopolistic,monopolístico
impossible,insoportable
predictable,predecible
rise,salir
flattered,halagado
hydrodynamically,hidrodinámicamente
narcissistic,narcisista
vitamin,vitamínico
sandy,arenoso
endosymbiosis,endosimbiosis
squinch,trompa
Fabius,Fabio
underwater,sumergido
mischief,travesura
Siberian,siberiano
squeak,rechinar
allochthonous,alóctono
roll,rodar
service,servir
antagonize,antagonizar
hypochlorous,hipocloroso
leverage,influencia
Aaron,Aarón
hypocoristic,hipocorístico
hack,hackear
Nicaraguan,nicaragüense
Philip,Felipe
legalise,legalizar
reheat,recalentar
fit,quedar
humanitarian,humanitario
call,llamarse
cement,pegamento
shrewd,perspicaz
beatify,beatificar
gamble,apostar
stand-in,doble
periphyton,perifitón
emulsify,emulsionar
perpetrate,perpetrar
awake,despertar
convivence,convivencia
liquid,líquido
sinter,sinterizar
pharyngeal,faríngeo
sacred,sagrado
grave,grave
exact,exigir
yesteryear,antaño
topple,recargar
mumble,mascujar
praiseworthy,encomiable
marginal,baldío
Andrew,Andreas
zygomatic,cigomático
entomological,entomológico
spirits,licor
wheel,rodar
rhyme,rimar
generally,generalmente
read,estudiar
pass,pasar
censorship,censura
Hellenize,helenizar
stutterer,tartamudo
virtual,virtual
chitinous,quitinoso
chemically,químicamente
some,unos
burn,quemar
Unix,Unix
shade,sombrear
plausibility,plausibilidad
repaint,repintar
Cree,cree
pine,pino
interpolate,interpolar
vacuous,vacuo
thicket,matorral
rhetorical,retórico
defame,difamar
seismic,seismico
recline,reclinarse
badly,malamente
increase,aumentar
microcosm,microcosmos
emigrate,emigrar
undergo,experimentar
avid,ávido
corvine,corvino
luminously,luminosamente
encyclical,encíclica
cyanosis,cianosis
daub,brochazo
revenue,rédito
surprising,sorprendente
insecure,inseguro
interior,interior
drive,conducir
decisively,decisivamente
ovulate,ovular
whippoorwill,cuerporruín
subtract,substraer
bold,negrita
invade,invadir
airscrew,hélice
polarize,polarizar
recent,reciente
physicist,físico
Usonians,estadounidenses
promiscuously,promiscuamente
inspect,inspeccionar
incorrigible,incorregible
benzoic,benzoico
Diego,Diego
Ephesians,Efesios
underlie,subyacer
translate,traducir
twentieth,vigésimo
affix,afijo
paranormal,paranormal
Caspar,Gaspar
Java,Java
attract,atraer
trespass,ofender
horseplay,pelear
equivalent,equivalente
accountable,responsable
perivascular,perivascular
azure,azur
isomer,isómero
logically,lógicamente
cut,colar
contract,contraer
