low_res,high_res
"වෛරසය ඒරියස්ට මෘදු රෝග තත්වයක් වශයෙන් ආසාදිත වී ඇති බව  ජනාධිපති අමාත්‍ය රොද්‍රිගෝ ඒරියස් පැවසීය.
","Arias tested positive for a mild case of the virus, Presidential Minister Rodrigo Arias said.
"
"ඔබට අමතර ගමන් කාලයක් තිබේ නම්, අප්‍රිකාව වෙත වන ඔබගේ මුළු ගාස්තු මිල ගණන් ලොව පුරා ගාස්තුව සමග සැසඳෙන ආකාරය බලන්න.
","If you have additional travel time, check to see how your total fare quote to Africa compares with a round-the-world fare.
"
"සොකට්ටුවේ අර්ධ වශයෙන් පැවතිය දී, ඔබ විසින් සොකට්ටුවේ ඇතුළත හෝ බල්බයේ ලෝහ පදනම ඇල්ලුවහොත්, ඔබට තදබල විදුලි පහරක් වැදිය හැකි වන්නේ බල්බය රැඳවෙන ලෝහමය කොටස ඇතුළු කරන සොකට්ටුව තුළට විදුලිය ගලා එන බැවිණි.
","This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.
"
"සංගීත කණ්ඩායමේ කළමනාකරණ සමාගම වන එච්.කේ. මැනේජ්මන්ට් ඉන්කෝපරේෂන් සැප්තැම්බර් 20 වන දින අවලංගු කරන විට කිසිදු මූලික හේතුවක් නොදැක්වූ නමුත් ඊළඟ දිනය වන විට ප්‍රවර්ධන හේතු වලට දොස් පැවරී ය.
","The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.
"
"ඔව්! විටෙක ""තුත් රජු"" හෝ ""කොළු රජු"" ලෙසද හඳුන්වන තූතන්කාමන් රජු, නූතන කාලය තුළ හොඳින්ම පතල පුරාතන ඊජිප්තු රජවරුන්ගෙන් අයෙකි.
","Yes! King Tutankhamun, sometimes referred to as ""King Tut"" or ""The Boy King"", is one of the most well known ancient Egyptian kings in modern times.
"
"""11 වෙනි අභ්‍යවකාශගාමියා"" ද ලෙස හැඳින්වෙන ලෙයොනෝව් සෝවියට් සමූහාණ්ඩුවේ මුල් අභ්‍යවකාශගාමීන් කණ්ඩායමේ කොටසක් විය.
","Leonov, also known as ""cosmonaut No. 11"", was part of the Soviet Union's original team of cosmonauts.
"
"සැබෑම අරමුණ වන්නේ, එම සමාගම්වලට තම වෙළඳපළවල වඩාත් හොඳ පාලනයක් ලබා දීම වන අතර, එය තනිකරම අධිකව මුදල් ඉපැයීම පිළිබඳ දෙයකි.
","The actual purpose is to give those companies more control over their markets; it's all about money spinning.
"
"නීති විරෝධීව සැකසූ ස්ප්‍රීතුවල මෙතනෝල් ඇතුළු විවිධ භයානක අපවිත්‍ර ද්‍රව්‍ය අඩංගු විය හැකි අතර, ඒවායේ කුඩා මාත්‍රාවකින් පවා අන්ධ භාවය මෙන්ම මරණය පවා සිදු විය හැකිය.
","Illegal spirits can contain various dangerous impurities including methanol, which can cause blindness or death even in small doses.
"
"වානේ කටුව මතුපිට ආතතිය හේතුවෙන් ජලය උඩින් පාවෙයි.
","The steel needle floats on top of the water because of surface tension.
"
"එකට ශබ්දය සැකසීමට හා මිශ්‍ර කිරීමට සංකීර්ණ පරිගණක භාවිතය මගින් බොහෝ විට සංගීතය පටිගත කෙරේ.
","Music is often recorded using sophisticated computers to process and mix sounds together.
"
"බ්ලැක් බියුටි කෙතරම් පහළින් ගමන් කළේ ද යත් නවසීලන්ත පොලීසියට රීඩ් මහතාගේ වේගය මැනීම සඳහා තම වේග රේඩාර් මෙවලම් භාවිත කිරීමට නොහැකි වූ අතර රීඩ් මහතා හසු කර ගැනීමට හැකි වූ එකම වේලාව වූයේ ඔහු පැයකට කි.මී 160 දක්වා වේගය අඩු කළ විට පමණයි.
","The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.
"
"උද්‍යානය වට කරගත් අවන්හල් රාශියක් ඇති අතර අපරභාගයේ දී සහ සවස් කාලවල දී මධ්‍යම ගිම්හාන කුටියේ සිට නොමිලේ ප්‍රසංග පැවැත්වේ.
","There are a number of restaurants surrounding the garden, and in the afternoons and evening there free concerts are often given from the central gazebo.
"
"වෙබයේ ආකෘතිකරණය සහ සංස්කරණය කිරීම සඳහා ඔබ පළපුරුදු ඇති අයෙකු වූ පසු, ඔබට, ඔබේ ම වෙබ් අඩවියක් නිර්මාණය කරගත හැකි ය.
","After you become comfortable with formatting and editing on the web, then later, you might create your own website.
"
"කෙසේ වෙතත්, චාල්ස්, කේම්බ්‍රිජ් හි ට්‍රිනිටි කොලේජ් විශ්ව විද්‍යාලයට ඇතුල් වූ අතර එහිදී ඔහු මානව විද්‍යාව සහ පුරා විද්‍යාව උගත්තේය, ඉන් පසුව 2:2 ක් (දෙවන පෙළ පහළ පංතියේ උපධියක්) ලබාගනිමින් ඉතිහාසය උගත්තේය.
","However, Charles went to university at Trinity College, Cambridge where he studied Anthropology and Archaeology, and later History, earning a 2:2 (a lower second class degree).
"
"වාර්තාගත පවුම් 27 මිලියනයක් ගාස්තුවක් සඳහා බ්‍රසීලියානු ක්ලබ් පැල්මියරස් හි 21 හැවිරිදි ජේසුස් පසුගිය 2017 ජනවාරියේදී මැන්චෙස්ටර් සිටි කණ්ඩායමට එක් විය.
","21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.
"
"සෑමවිටම, ඔබ ගුවන් සමාගම සමඟ ඍජුව දුරකථනය හරහා ආසන වෙන් කරවා ගත යුතු ය.
","In all cases, you must book by phone directly with the airline.
"
"බොහෝ රූපවාහිනී තනා ඇත්තේ සාමාන්‍ය ජනතාව සතුටු කරන ආකාරයට ය.
","Most televisions are made in a way to please the general public.
"
"තලයෙහි පතුල මදක් වක්‍ර වී ඇති බවින්, තලය එක පැත්තකට හෝ අනෙක් පැත්තට ඇල වන විට, අයිස් සමග ස්පර්ශ වන දාරය ද වක්‍රවේ.
","Because the bottom of the blade is slightly curved, as the blade tilts to one side or the other, the edge which is in contact with the ice also curves.
"
"එන්සෙලාඩස් සෞරග්‍රහ මණ්ඩලයේ වඩාත්ම පරාවර්තන කළ හැකි වස්තුව වන අතර, එයට පතිත වන සූර්යාලෝකයෙන් 90%ක්ම පරාවර්තන කරන්නකි.
","Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it.
"
"සමහර ජර්මානු යතිවරුන්ට දෙවියන් වහන්සේ ස්වදේශිකයන්ට සමීප කරවීමට අවශ්‍ය වූ බැවින් ඔවුන් එස්තෝනියානු ලිඛිත භාෂාව නිර්මාණය කළහ.
","Some German monks wanted to bring God closer to the native people, so they invented the Estonian literal language.
"
"සීමිත කාල සිමාවක් ඇති අමුත්තන් සිය කාලය වෙනත් තැනක ගත කිරීම හොඳම දෙය වේ.
","Visitors with limited time would be best to spend their time elsewhere.
"
"අද්භූතවාදය වෙනත් ආකාරයන්ගේ ආගමික විශ්වාස හා ඇදහීම් වලින් වෙන්කර හඳුනාගත හැක්කේ විශේෂයෙන් සාමකාමී, තීක්ෂ්ණ බුද්ධියෙන් යුතු, ප්‍රීතිමත් හෝ ප්‍රීතිමත් චරිතයක් ඇත්තන්ගේ අද්විතීය සවිඥානික තත්ත්වයක ඍජු පුද්ගලික අත්දැකීම් කෙරෙහි එය අවධාරණය කිරීමෙනි.
","Mysticism can be distinguished from other forms of religious belief and worship by its emphasis on the direct personal experience of a unique state of consciousness, particularly those of a peaceful, insightful, blissful, or even ecstatic character.
"
"බිග් බ්‍රදර් වෙබ් අඩවියේ මාධ්‍ය ගබඩා කර නොතිබීම නිසා, වීඩියෝව අන්තර්ජාලය ඔස්සේ විකාශය කර තිබුනත්, බිග් බ්‍රදර් විසින් මාර්ගගත අන්තර්ගත වාරණ නීති උල්ලංඝනය කර නොමැති බව ACMA විසින් සොයා ගන්නා ලදී.
","The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.
"
"ADD සහිත දරුවන් හැසිරෙන ආකාරය,  ඔවුන් වචන පවසන ආකාරය හෝ ඔවුන්ගේ පරිණත මට්ටම වෙනස් වීම වැනි දේ අනෙක් දරුවන්ට තේරුම් ගත් නොහැකි නිසා, අනෙක් සම වයස් දරුවන් සමඟ සම්බන්ධතා පවත්වාගැනීමට එය ඔවුන්ට බාධාවක් ඇතිවේ.
","ADD affects relationships with other peers because other children can not understand why they act the way that they do or why they spell they way they do or that their maturity level is different.
"
"බොහෝ පවුල් විසින් නෙරපා හැරීමට එරෙහිව සටන් කිරීමට නීති ආධාර ලබාගන්නා බව පැහැදිලි වීමෙන් පසුව, මාර්තු 20 වන දින ඊස්ට් බේ ප්‍රජා නීති මධ්‍යස්ථානයේ දී නිවාස වංචාවට ලක් වූ අය සඳහා රැස්වීමක් පවත්වන ලදී.
","After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.
"
"අද සිදු කළ අත්අඩංගුවට ගැනීම තහවුරු කිරීම හැරුණු කොට බලධාරීන් පැවසූ දේ ඉතා සුලු විය.
","Authorities said little officially beyond confirming today's arrest.
"
"අභ්‍යන්තර ඇන්ටාක්ටිකාව කි.මී. 2-3 ක පමණ අයිස්වලින් ආවරණය වූ හුදෙකලා සානුවකි.
","Inland Antarctica is a desolate plateau covered by 2-3 km of ice.
"
"කෙසේ නමුදු, ආක්‍රමණය කළ බවට සැක කළ මාර්ග අසල රාජකීය නාවික යාත්‍රා ඉතා සුළු ප්‍රමාණයක් ස්ථානගත කොට තිබූ අතර ජර්මානු ගුවන් ප්‍රහාර හේතුවෙන් ඒවා ගිලී යන බවට අද්මිරාල්වරු බියට පත්ව සිටියහ.
","However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.
"
"ඔබගේ ගමන් බලපත්‍රය, සංචාරය කරන දිනවලින් ඔබ්බට මාස 6 ක කාලයක් දක්වාවත් වලංගු විය යුතු ය. ඔබ රැඳී සිටින කාල සීමාව සනාථ කිරීමට යන එන/ඉදිරියට ඇති ගමන් ටිකට් පතක් අවශ්‍ය වේ.
","Your passport must be valid for at least 6 months beyond your travel dates. A round/onward trip ticket is needed to prove the length of your stay.
"
"ලොස් ඇන්ජලස් පොලිස් දෙපාර්තමේන්තුවේ ප්‍රකාශකයෙකු වන ක්‍රිස්ටොෆර් ගාර්ෂියා ප්‍රකාශ කළේ, සැක කටයුතු පිරිමි වරදකරුවා පොදු දේපළ විනාශ කිරීමට වඩා අනවසරයෙන් ඇතුළු වීම සම්බන්ධව විමර්ශන කරන බවයි.
","Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.
"
"1649 දී, ටිබෙට්-මොංගෝලියානු හමුදාවලට විරුද්ධව කළ සටනින් තමන් ලත් ජයග්‍රහණය සැමරීම පිණිස, සබ්ඩ්‍රං ඞවං නම්ග්යේල් බලකොටුව තැනූ බව පැවසේ.
","It is said that in 1649, Zhabdrung Ngawang Namgyel created the fortress to commemorate his victory against the Tibetan-Mongol forces.
"
"වෙනිසියුලානුවන්ගෙන් සියයට දහ අටක් විරැකියාවෙන් පෙළෙන අතර, රැකියා නියුක්තිකයින්ගෙන් බොහොමයක් අවිධිමත් ආර්ථිකය තුළ රැකියා කරති.
","Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.
"
"එබැවින් ඔබ වෙරළත ඉම සිටගෙන සිටියේ නම්, ඔබට පත්ලේ ඇති ගල් කැට හෝ දියසෙවෙල වැනි ඕනෑම දෙයක් දැකිය හැකිවිය යුතුවේ.
","So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.
"
"ප්‍රහාරය මගින් ඉන්දියාව සහ පාකිස්තානය අතර සබඳතාවලට විශාල බලපෑමක් ඇති කරයි.
","The attack put a huge strain on relations between India and Pakistan.
"
"සමාගමට එක්සත් රාජධානි. රජයෙන් හදිසි අවස්ථා සහය ලැබී ඇති බව අනාවරණය වූ පසුව 2008 දී නොදර්න් රොක් බැංකුව ජනසතු කර තිබුණි.
","The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.
"
"පෘථිවියේ මෙන් ඔබට සිටගෙන සිටිය හැකි පෘෂ්ඨයක් සූර්යයාට නොමැත. මුළු සූර්යයා ම නිර්මාණය වී ඇත්තේ වායූ, ගින්දර සහ ප්ලාස්මා වලිනි.
","The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.
"
"වැසි සමයේ දී (නොවැම්බර් සිට මාර්තු දක්වා), ජල පරිමාව වඩා ඉහළ යනු ඇති අතර, දිය ඇල්ල වඩා චමත්කාරජනක වනු ඇත.
","In the rainy season (November to March), the water volume will be higher and the Falls will be more dramatic.
"
"මිනිසුන් 2,400 කින් සමන්විත ප්‍රධාන ප්‍රහාරක සේනාව ට්‍රෙන්ටන් හි සිට සැතපුම් නවයක් උතුරින් පිහිටි ගඟ තරණය කර, ඉන්පසුව අරුණෝදයට පෙර ප්‍රහාරයක් දියත් කිරීම සඳහා ග්‍රීන් හා සලිවන්ගේ නායකත්වයෙන් යුත් කණ්ඩායම් දෙකකට බෙදෙනු ඇත.
","The main assault force of 2,400 men would cross the river nine miles north of Trenton, and then split into two groups, one under Greene and one under Sullivan, in order to launch a pre-dawn attack.
"
"එමෙන්ම, ඉගෙනීමට හොඳ දෙයක් ඇත්තේ එකක් පමණක් නොවේ. ඉගෙන ගන්නා සහ ලබාදෙන දැනුම අතර අත්දැකීම මත ඉගෙනුම සිදුවේ.
","In fact, there is not one good thing to learn.Learning takes place in the experience between the learner and the knowledge presented.
"
"උතුරු ඇමරිකානු ගෝනුන්  භයානක විය හැකි යැයි නොසිතා මිනිසුන්, ඔවුන්ට ඕනෑවට වඩා සමීපවීමෙන් තමන්ව ම අවදානමට ලක්කරයි.
","When people don't see moose as potentially dangerous, they may approach too closely and put themselves at risk.
"
"ඔබ නියෝජිතයෙකු හරහා වෙන්කරවා ගන්නා විට ඔහු විශාල පරාසයක විවිධාකාර නැව් පිළිබඳ මනා දැනුමක් ඇති ගැලපගෝස් පිළිබඳ විශේෂඥයෙකු බවට සහතික කරගන්න.
","Be sure the agent through whom you book is a Galapagos specialist with a good knowledge of a wide variety of ships.
"
"බොහෝ රටවලට, ඔබ අධ්‍යාපනය ලැබීමට අදහස් කරන ආයතනය වෙතින් පිරිනැමුම් ලිපියක් සහ අවම වශයෙන් ඔබගේ පාඨමාලාවේ පළමු වසර තුළ ඔබගේ වියදම් සපුරා ගැනීමට අරමුදල් ඇති බවට සාක්ෂි අවශ්‍ය වේ.
","For most countries, you will need an offer letter from the institution you wish to study at, and also evidence of funds to support yourself for at least the first year of your course.
"
"රුසියාවේ ඇලෙයිස්ක් හි මාතෘ සායනයක සිසේරියන් අංශයේ දී 2007 සැප්තැම්බර් 17 වන දින උපත ලද නාදියා රාත්තල් 17 ක් සහ අවුන්ස 1 ක විශාල බරක් සහිතව සිටියා ය.
","Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.
"
"අදියර වෙනස්වීමක් ඇති කරවමින් සැලකිය යුතු මට්ටමේ  භූ කම්පන ක්‍රියාකාරකමක් මාර්තු 10 වන දින ගිනිකඳු මුදුනත කල්දේරාවෙහි ඊසාන දෙසින් සිදුවී ඇත.
","The significant earthquake activity resulting in the phase change had took place on March 10 on the northeast side of the volcano's summit caldera.
"
"""දර්ශීය"" සංචාරයට ඇතුලත් වන්නේ ඕර්ලන්ඩෝ අන්තර්ජාතික ගුවන් තොටුපලට පියාසර කිරීම, ඇතුලත ඇති ඩිස්නි හෝටලයක ගැවසීම, ඩිස්නි බිම් ප්‍රදේශය හැර නොයා සතියක් පමණ එහි කාලය ගත කිරීම හා නැවත නිවසට පැමිණීමයි.
","The ""typical"" visit involves flying into Orlando International Airport, busing to an on-site Disney hotel, spending about a week without leaving Disney property, and returning home.
"
"කලාපය පුරා වන රාජ්‍යතාන්ත්‍රික මතභේදයන් ආර්මේනියාව සහ අසර්බයිජානය අතර වන සම්බන්ධතාවන්ට දිගටම බාධා කරමින් සිටී.
","Diplomatic arguments over the region continue to mar relations between Armenia and Azerbaijan.
"
"නියමාකාරයෙන් සැලසුම් කිරීමෙන් මෙය සාමාන්‍ය මෝටර් රථයකින් වුව ද කළ හැකි නමුත්, බොහෝ ස්ථාන වෙත ලඟා විය හැක්කේ ඉහළ රෝද පාදමක් සහිත 4x4 රථවලින් පමණක් බැවින්, 4x4 රථයක් යොදාගැනීම නුවණට හුරු වේ.
","This can be done in a normal car with careful planning but a 4x4 is highly advised and many locations are only accessible with a high wheel base 4x4.
"
"හංගි ආහාර වේලක් පිසිනු ලබන්නේ උණුසුම් භූගත වලක වේ.
","A Hangi Meal is cooked in a hot pit in the ground.
"
"මෙම දරුවන්ගේ මොළයට සාමාන්‍ය ක්‍රමයන්ගෙන් උත්තේජනයක් ලබාගත නොහැකි බැවින් ඔවුහු තම මොළය උද්දීපනය කරගැනීමට ""අවදානම් සහගත හැසිරීම්වල යෙදීම, දබර කරගැනීමට පෙළඹීම සහ බලාධිකාරීන් ප්‍රශ්න කිරීම"" හේතුවෙන්  බොහෝ ගැටළුවලට මුහුණ දෙයි.
","These children tend to get into a lot of trouble, because they ""engage in risky behaviors, get into fights, and challenge authority"" in order to stimulate their brain, since their brain can not be stimulated by normal methods.
"
"අසල්වැසියෙකු ගෑස් කාන්දුවක් ගැන දැනුම් දීමෙන් පසුව, ගෑස් සමාගමේ නිලධාරියෙකු එම ස්ථානයට ගමන් කරමින් සිටියේය.
","An official with the gas company was reporting to the scene after a neighbor called about a gas leak.
"
"ඇල්ගී, මිනිසුන්ගේ මෙන්ම මත්ස්‍යයන්ගේ ස්නායු අක්‍රිය කරන නියුරෝටොක්සිනයක් නිපදවයි.
","The algae produces a neurotoxin that can disable nerves in both humans and fish.
"
"ශතවර්ෂ ගණනාවක් පුරා, මුහුදට මුහුණ ලා ඇති ප්‍රපාතවලට කෙළින් ඉහළින් ඇති විෂම, අධික බෑවුම් සහිත භූමිභාගවල මිනිසුන් විසින් ප්‍රවේශමෙන් හෙල්මලු තනා ඇත.
","Over the centuries, people have carefully built terraces on the rugged, steep landscape right up to the cliffs that overlook the sea.
"
"මෙට්‍රෝප්ලස් වඩාත් සැප පහසු, අඩු ජනාකීර්ණ සහ මදක් මිල අධික වන නමුත් යුරෝපයේ සාමාන්‍ය මෙට්‍රෝ ප්‍රවේශපත්වලට වඩා මිල අඩුය.
","MetroPlus is more comfortable and less crowded but slightly more expensive, though still cheaper than normal metro tickets in Europe.
"
"ආගමික, දාර්ශනික හා විද්‍යාත්මක විශාරදයින් විසින් වසර දහස් ගණනක් තිස්සේ කාලය පිළිබඳ අධ්‍යයනය කර ඇත.
","Time has been studied by religious, philosophical, and scientific scholars for thousands of years.
"
"මෙම දිවයිනේ පළමුවරට වාසය කළේ ටයිනෝ සහ කැරිබ්වරුය. කැරිබ්වරු ක්‍රි.පූ 10,000 දී පමණ පැමිණි අරවකන් බස කථා කරන ජන කොට්ඨාසයක් වූහ.
","The island was first inhabited by the Taínos and Caribes. The Caribes were an Arawakan-speaking people who had arrived around 10,000 BCE.
"
"ඇසින්ක්‍රොනස් සන්නිවේදනය මගින් අන්‍යයන්ට ප්‍රතිබිම්බනය කිරීමත් ප්‍රතිචාර දැක්වීමත් සඳහා කාලය දිරිමත් කරයි.
","Asynchronous communication encourages time for reflection and reaction to others.
"
"එය 1970 ගණන්වලදී, අත්දැකීම් රහිත නමන්නන්ට හෝ සීමිත මෝටර් හැකියාවන් යුත් අයට උපකරයක් ලෙස ජෝන් ස්මිත් විසින් සංවර්ධනය කළේය.
","It was developed by John Smith in the 1970s to help inexperienced folders or those with limited motor skills.
"
"සෛලය යන්න පැමිණෙන්නේ කුඩා කාමරය යන්න හැඟවෙන ලතින් වචනයක් වන සෙලා යන්නෙනි.
","Cell comes from the Latin word cella which means small room.
"
"අඩිය පැතලි සහ පුළුල් විය යුතුය. සාමාන්‍යයෙන් ඝර්ෂණය වැඩි කිරීමට වැලි, බොරළු හෝ ලුණු (කැල්සියම් ක්ලෝරයිඩ්) මාර්ග හෝ මාවත් මත විසුරුවා හරිනු ලැබේ.
","Heels should be low and wide. Sand, gravel or salt (calcium chloride) is often scattered on roads or paths to improve traction.
"
"හිමිකරුවෙක් නොමැති මලු සොරකමක් සඳහා ඉලක්කයක් වන අතර බෝම්බ තර්ජන ගැන විමසිලිමත් වන බලධාරීන්ගේ අවධානයට ලක්විය හැකි ය.
","Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.
"
"රුධිර සංසරණ පද්ධතියේ ප්‍රධාන ම අවයවය වන්නේ, රුධිරය පොම්ප කරන හෘදය වස්තුවයි.
","The major organ of the circulatory system is the heart, which pumps the blood.
"
"අනෙකුත් ස්කීං ඉසව් බීජිං සිට කිලෝමීටර් 220 ක් (සැතපුම් 140 ක්) දුරින් පිහිටි ෂැංජියාකෝ හි තායිසිචෙන් ස්කී ප්‍රදේශයේදී පැවැත්වේ.
","Other skiing events will be at the Taizicheng ski area in Zhangjiakou, about 220 km (140 miles) from Beijing.
"
"ජෙනෙරල් ජෝන් කැඩ්වෝල්ඩර්, සහයක සේනා කිසිවක් පැමිණෙන්නේ නම් එය අවහිර කරනු පිණිස බෝර්ඩන්ටවුන්හි බ්‍රිතාන්‍ය හමුදා බලකොටුවට එරෙහිව හැරවුම් ප්‍රහාරයක් දියත් කරනු ඇත.
","General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.
"
"බලඝන නායක ඩිලෝක්‍රිට් පටවී ගුවන් නියමුවා බව හඳුනාගෙන ඇත.
","The pilot was identified as Squadron Leader Dilokrit Pattavee.
"
"චිත්‍රපටියක් ඩීවීඩී ආකෘතියට පරිවර්තන කිරීමට උත්සාහ කරන විට ඇති බව ඉතාම පොදු ගැටලුවලින් එකක් අධිපරිලෝකනය වෙයි.
","One of the most common problems when trying to convert a movie to DVD format is the overscan.
"
"කිසිම ගුවන් සේවා සන්ධානයක් දකුණු අර්ධ ගෝලයේ සාගර හරස් මාරු තුනම ආවරණ නොකරයි (තවද SkyTeam කිසිදු හරස් මාරු කිසියම් ආවරණය නොකරයි ).
","No airline alliance covers all three ocean crossings in the Southern Hemisphere (and SkyTeam covers none of the crossings).
"
"ඔහු අඟහරුවාදා ඔසාකාහි මිය ගියේ ය.
","He died in Osaka on Tuesday.
"
"යම් අවස්ථාවලදී ඒවා යම් පමණකට ප්‍රයෝජනවත් විය හැකි වුවත්, චාලට් හි පවුල් සාමාන්‍යයෙන් කුළි රථ භාවිත නොකරයි.
","Taxis are not generally used by families in Charlotte, though they can be of some use in certain circumstances.
"
"නියෝජිත ක්ලිෆ් ස්ටර්න්ස් විසින් පවත්වාගෙන යනු ලබන සැලසුම්ගත දෙමාපියභාවය සිය මුදල් වියදම් කරන සහ ඒ පිළිබඳව වාර්තා කරන ආකාරය සම්බන්ධයෙන් ඉදිරියේදී සිදුවීමට නියමිත විමර්ශනයක් හේතුවෙන් සැලසුම්ගත දෙමාපියභාවය ආයතනය කොමන්ගේ ප්‍රතිපත්තිය මගින් නුසුදුසු බවට පත් කරන ලදී.
","Komen's policy disqualified Planned Parenthood due to a pending investigation on how Planned Parenthood spends and reports its money that is being conducted by Representative Cliff Stearns.
"
"ට්‍රිසරටොප්ස් සත්ත්වයෙකු බඳ කා දැමීමට පෙර සිය ශක්තිමත් හොටයෙන් කොළ සූරා දමන්නට ඇත.
","A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.
"
"තුර්කිය තුන් පැත්තකින්: බටහිරින් ඊජියන් මුහුද, උතුරින් කළු මුහුද සහ දකුණින් මධ්‍යධරණී මුහුද වශයෙන් තුන් පැත්තකින් මුහුදුවලින් වටවී ඇත.
","Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.
"
"බද්ධ නිවස තුළ කිසි කෙනෙක් සිටියේ නැත.
","No one was inside the apartment.
"
"මේ වසරේ ජුනි සිට අගෝස්තු දක්වා කාලය තුළ ලොව විශාලතම මහජන කලා උළෙල වන කවු පැරේඩ් හි සත්කාරකත්වය සපයන ගිනිකොනදිග යුරෝපයේ පළමු නගරය මෙම නගරය වේ.
","The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.
"
"මෙම මනෝභාවයේ වැදගත්ම සාධකය වන්නේ: ඇත්තේ එක් නිවැරදි පිළිතුරක් පමණි. ඔබ පිළිතුරු දෙකක් පමණක් ගැන සිතයි, නාමිකව එය හරි සහ වැරදි ය.
","The most important factor of this mindset is: there is only one correct answer. You only think of two answers, namely right or wrong.
"
"අපධාවය අනවශ්‍ය බට තීරණ කිරීමට ඇෆ්ගාන් ව්‍යවස්ථාව බහුඅර්ථතාවෙන් යුතු බව තමන් සොයාගත් බව රාජතාන්ත්‍රිකයෝ පැවසූහ.
","Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.
"
"ඉතියෝපියාවේ සහ කෙන්යාවේ ""ප්‍රමුඛස්ථාන"" පුපුරවා හැරීමට මරාගෙන මැරෙන බෝම්කරුවන් යොදා ගන්නා බවට අනාවරණය නොකරන මූලාශ්‍රයකින් තොරතුරු ලැබී ඇති බව එක්සත් ජනපදය පවසයි.
","The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.
"
"බැංකුව ජාතිකකරණ කිරීමට පෙර ශ්‍රීමත් රිචර්ඩ් බ්‍රැන්සන්ගේ වර්ජින් ගෘප් බැංකුවට ලංසුවක් තබා එය ප්‍රතික්ෂේප වී තිබිණි.
","Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.
"
"මොළයක් ඇත්තේ සතුන්ට පමණි (එහෙත් සියලුම සතුන්ටත් නැත; උදාහරණයක් ලෙස ජෙලිෆිෂ් නම් මත්ස්‍යයන්ට මොළයක් නැත).
","Only animals have brains (though not even all animals do; jellyfish, for example, do not have brains).
"
"මිනිසුන් රහිත චන්ද්‍රයාන් -1 චන්ද්‍ර කක්ෂගත යානය, තත්පරයකට කිලෝමීටර් 1.5 ක (පැයකට සැතපුම් 3000) වේගයෙන් සඳ මුහුණත හරහා ගිය චන්ද්‍ර ඝටන ඒෂණය (MIP) මුදා හරින ලද අතර එය සාර්ථකව චන්ද්‍රයාගේ දක්ෂිණ ධ්‍රැවය ආසන්නයට කඩා වැටුණි.
","The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe (MIP), which hurtled across the surface of the Moon at 1.5 kilometres per second (3000 miles per hour), and successfully crash landed near the Moon's south pole.
"
"දේශපාලනික වාරණ සහ වාණිජ IP-භූ පෙරහන් මඟහැරීමට පුද්ගලික VPN (අතථ්‍ය පුද්ගලික ජාල) සපයන්නෝ විශිෂ්ට මාර්ගයක් ලබා දෙති.
","Personal VPN (virtual private network) providers are an excellent way of circumventing both political censorship and commercial IP-geofiltering.
"
"ඔබගේම මෝටර් රථයේ නැඟී දීර්ඝ මාර්ග සංචාරයක් සඳහා යාම එහි සරලතාව මුසු නෛසර්ගික ආකර්ෂණයක් ඇති කරයි.
","Getting into your own car and heading off on a long road trip has an intrinsic appeal in its simplicity.
"
